TEAM_ID,MISSION_TIME,PACKET_CNT,ALTITUDE,PRESSURE,TEMP,VOLTAGE,GPSTIME,GPSLAT,GPSLONG,GPSALT,GPSSAT,TILTX,TILTY,TILTZ,SOFTWARE_STATE
1138,17:58:25,1,-0.1,99.1,24.3,6.2,215824,43.782638,-79.466323,192.9,6.0,-0.02,0.09,0.4,1
1138,17:58:26,2,0.0,99.1,24.3,6.2,215825,43.782653,-79.466339,192.0,6.0,-0.12,0.09,0.5,1
1138,17:59:14,3,0.7,99.1,24.4,6.2,215913,43.782714,-79.466392,189.3,7.0,-0.03,0.15,-0.04,1
1138,17:59:15,4,1.1,99.1,24.4,6.2,215914,43.782714,-79.466392,189.8,7.0,-0.02,0.15,-0.04,1
1138,17:59:16,5,0.8,99.1,24.4,6.2,215915,43.782714,-79.466392,190.0,6.0,-0.02,0.15,-0.04,1
1138,17:59:17,6,0.4,99.1,24.4,6.2,215916,43.782718,-79.466392,190.2,7.0,-0.02,0.14,-0.04,1
1138,17:59:18,7,0.7,99.1,24.3,6.2,215917,43.782718,-79.466392,190.4,7.0,-0.03,0.15,-0.04,1
1138,17:59:19,8,0.6,99.1,24.4,6.2,215918,43.782722,-79.466392,190.8,7.0,-0.04,0.14,-0.05,1
1138,17:59:20,9,0.8,99.1,24.4,6.2,215919,43.782722,-79.466392,191.1,7.0,-0.04,0.14,-0.05,1
1138,17:59:22,10,0.9,99.1,24.3,6.2,215920,43.782722,-79.466392,191.2,7.0,-0.05,0.14,-0.05,1
1138,17:59:23,11,0.8,99.1,24.4,6.2,215921,43.782722,-79.466392,191.4,7.0,-0.05,0.13,-0.05,1
1138,17:59:24,12,0.7,99.1,24.4,6.2,215922,43.782726,-79.466392,192.1,7.0,-0.06,0.13,-0.06,1
1138,17:59:25,13,0.9,99.1,24.4,6.2,215923,43.78273,-79.466392,192.5,7.0,-0.06,0.12,-0.07,1
1138,17:59:26,14,0.8,99.1,24.4,6.2,215924,43.782733,-79.466392,193.1,7.0,-0.07,0.11,-0.07,1
1138,17:59:27,15,0.7,99.1,24.4,6.2,215925,43.782737,-79.466392,193.2,7.0,-0.08,0.11,-0.07,1
1138,17:59:28,16,0.6,99.1,24.4,6.2,215926,43.782745,-79.466384,194.1,7.0,-0.09,0.1,-0.07,1
1138,17:59:30,17,0.5,99.1,24.4,6.2,215927,43.782752,-79.466384,194.6,7.0,-0.11,0.09,-0.08,1
1138,17:59:31,18,0.3,99.1,24.4,6.2,215928,43.782756,-79.466384,195.1,7.0,-0.11,0.09,-0.08,1
1138,17:59:32,19,0.7,99.1,24.3,6.2,215929,43.78276,-79.466384,195.4,7.0,-0.11,0.08,-0.08,1
1138,17:59:33,20,0.8,99.1,24.3,6.2,215930,43.782764,-79.466384,195.7,7.0,-0.11,0.08,-0.09,1
1138,17:59:34,21,0.7,99.1,24.3,6.2,215931,43.782768,-79.466377,195.9,7.0,-0.12,0.07,-0.09,1
1138,17:59:35,22,0.7,99.1,24.3,6.2,215932,43.782772,-79.466377,196.1,7.0,-0.14,0.07,-0.09,1
1138,17:59:36,23,0.3,99.1,24.3,6.2,215933,43.782779,-79.466377,196.4,7.0,-0.15,0.07,-0.1,1
1138,17:59:38,24,0.4,99.1,24.3,6.2,215934,43.782783,-79.466377,196.3,7.0,-0.15,0.07,-0.1,1
1138,17:59:39,25,0.5,99.1,24.3,6.2,215935,43.782787,-79.466369,196.4,7.0,-0.15,0.06,-0.1,1
1138,18:01:19,26,-0.0,99.1,24.6,6.2,220118,43.782764,-79.466346,215.0,6.0,0.13,0.01,-0.0,1
1138,18:01:22,27,0.1,99.1,24.6,6.2,220118,43.782764,-79.466346,215.0,6.0,0.11,-0.0,0.03,1
1138,18:01:23,28,0.1,99.1,24.6,6.2,220118,43.782764,-79.466346,215.0,6.0,0.11,-0.01,0.03,1
1138,18:01:24,29,-0.2,99.1,24.6,6.2,220118,43.782764,-79.466346,215.0,6.0,0.12,-0.02,0.04,1
1138,18:01:25,30,0.0,99.1,24.6,6.2,220123,43.782794,-79.466346,222.4,6.0,0.12,-0.02,0.04,1
1138,18:01:26,31,0.5,99.1,24.6,6.2,220124,43.782794,-79.466346,222.6,6.0,0.11,-0.03,0.06,1
1138,18:01:27,32,-0.2,99.1,24.7,6.2,220125,43.782791,-79.466346,222.1,6.0,0.1,-0.02,0.06,1
1138,18:01:29,33,0.0,99.1,24.7,6.2,220128,43.782749,-79.466346,217.5,7.0,0.1,-0.03,0.07,1
1138,18:01:30,34,-0.1,99.1,24.7,6.2,220129,43.782737,-79.466346,217.1,7.0,0.09,-0.01,0.09,1
1138,18:01:31,35,-0.1,99.1,24.7,6.2,220130,43.782726,-79.466346,216.0,7.0,0.08,-0.01,0.1,1
1138,18:01:32,36,0.5,99.1,24.6,6.2,220131,43.782718,-79.466354,215.0,7.0,0.07,-0.01,0.11,1
1138,18:03:19,37,-0.3,99.1,24.7,6.2,220315,43.782886,-79.466438,212.1,7.0,-0.3,-0.08,-0.12,1
1138,18:03:21,38,-0.7,99.2,24.7,6.2,220315,43.782886,-79.466438,212.1,7.0,-0.27,-0.08,-0.17,1
1138,18:03:23,39,-0.1,99.1,24.7,6.2,220315,43.782886,-79.466438,212.1,7.0,-0.26,-0.07,-0.18,1
1138,18:03:24,40,-0.2,99.1,24.7,6.2,220322,43.782794,-79.466384,207.4,7.0,-0.26,-0.07,-0.19,1
1138,18:03:25,41,0.2,99.1,24.7,6.2,220323,43.782787,-79.466377,206.9,7.0,-0.26,-0.06,-0.2,1
1138,18:03:26,42,-0.3,99.1,24.7,6.2,220325,43.782779,-79.466369,206.3,7.0,-0.25,-0.05,-0.21,1
1138,18:03:27,43,0.1,99.1,24.7,6.2,220327,43.782772,-79.466369,205.5,7.0,-0.24,-0.03,-0.25,1
1138,18:03:28,44,0.1,99.1,24.7,6.2,220328,43.78276,-79.466361,204.8,7.0,-0.23,-0.03,-0.27,1
1138,18:03:32,45,0.2,99.1,24.7,6.2,220331,43.782749,-79.466361,203.7,7.0,-0.22,-0.01,-0.28,1
1138,18:03:33,46,-0.1,99.1,24.7,6.2,220332,43.782749,-79.466361,203.4,7.0,-0.21,-0.01,-0.29,1
1138,18:03:34,47,0.2,99.1,24.7,6.2,220333,43.782745,-79.466361,202.9,7.0,-0.2,0.0,-0.29,1
1138,18:03:37,48,-0.1,99.1,24.7,6.2,220337,43.782737,-79.466361,201.5,7.0,-0.17,0.04,-0.36,1
1138,18:03:38,49,0.8,99.1,24.6,6.2,220338,43.782737,-79.466361,201.1,7.0,-0.16,0.04,-0.38,1
1138,18:03:43,50,0.2,99.1,24.6,6.2,220342,43.782726,-79.466369,199.5,7.0,-0.13,0.06,-0.44,1
1138,18:03:46,51,0.4,99.1,24.6,6.2,220345,43.782703,-79.466361,197.4,7.0,-0.11,0.07,-0.49,1
1138,18:03:47,52,0.1,99.1,24.6,6.2,220347,43.782695,-79.466361,196.5,7.0,-0.08,0.08,-0.53,1
1138,18:03:48,53,0.1,99.1,24.6,6.2,220348,43.782695,-79.466361,196.5,7.0,-0.07,0.09,-0.55,1
1138,18:03:59,54,0.3,99.1,24.6,6.2,220358,43.782695,-79.466361,196.7,7.0,-0.09,-0.03,0.04,1
1138,18:04:04,55,-0.6,99.1,24.6,6.2,220403,43.782695,-79.466361,196.6,7.0,-0.1,-0.01,0.08,1
1138,18:04:05,56,0.0,99.1,24.6,6.2,220404,43.782695,-79.466361,196.4,7.0,-0.11,-0.0,0.09,1
1138,18:04:08,57,-0.4,99.1,24.6,6.2,220407,43.782691,-79.466361,195.9,7.0,-0.11,-0.0,0.1,1
1138,18:04:10,58,-0.6,99.1,24.6,6.2,220409,43.782688,-79.466354,195.3,7.0,-0.1,-0.0,0.11,1
1138,18:04:11,59,-0.1,99.1,24.6,6.2,220410,43.782688,-79.466354,195.5,7.0,-0.11,0.0,0.12,1
